index,status,local_started_at,local_finished_at,elapsed_s,request_id,replica_index,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,audio_decode_ms,post_process_audio_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,postprocess_mode,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-20T02:59:41.530865Z,2026-04-20T02:59:41.799863Z,0.268995,9ca9b877ba1d,0,2026-04-20T02:59:41.552082Z,2026-04-20T02:59:41.796560Z,244.48,6.249,0.19,0.00,0.11,1.24,241.22,1.37,240.83,9.25,91.95,,144.92,132.18,12.74,,,,,,,,2,134,42,88,short_noref,full,none,,2.620,0.0933,125804,
1,200,2026-04-20T02:59:41.531378Z,2026-04-20T02:59:41.800370Z,0.268989,bf2c26ff189f,0,2026-04-20T02:59:41.553252Z,2026-04-20T02:59:41.796813Z,243.56,6.249,0.15,0.00,0.09,0.11,241.22,1.57,240.83,9.25,91.95,,144.92,132.18,12.74,,,,,,,,2,134,42,88,short_noref,full,none,,2.640,0.0923,126764,
2,200,2026-04-20T02:59:41.531870Z,2026-04-20T02:59:44.575544Z,3.04367,69b76177830b,0,2026-04-20T02:59:41.580296Z,2026-04-20T02:59:44.538644Z,2958.35,6.249,0.17,0.00,0.11,218.01,2716.38,22.68,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.790,1.0603,133964,
3,200,2026-04-20T02:59:41.532253Z,2026-04-20T02:59:44.577297Z,3.045041,59334d87578b,0,2026-04-20T02:59:41.564701Z,2026-04-20T02:59:44.541318Z,2976.62,6.249,0.15,0.00,0.09,233.63,2716.38,25.51,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.700,1.1025,129644,
4,200,2026-04-20T02:59:41.532630Z,2026-04-20T02:59:44.548887Z,3.016254,073019ca4f31,0,2026-04-20T02:59:41.563005Z,2026-04-20T02:59:44.535399Z,2972.39,6.249,0.15,0.00,0.09,235.33,2716.38,19.76,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.670,1.1133,128204,
5,200,2026-04-20T02:59:41.533242Z,2026-04-20T02:59:44.577751Z,3.044506,4591c2ecad0f,0,2026-04-20T02:59:41.601425Z,2026-04-20T02:59:44.539928Z,2938.50,6.249,0.14,0.00,0.09,196.91,2716.38,23.32,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.630,1.1173,126284,
6,200,2026-04-20T02:59:41.533631Z,2026-04-20T02:59:44.540553Z,3.006919,4cfdcd32b489,0,2026-04-20T02:59:41.564263Z,2026-04-20T02:59:44.532658Z,2968.39,6.249,0.15,0.00,0.10,234.06,2716.38,16.96,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.650,1.1201,127244,
7,200,2026-04-20T02:59:41.533999Z,2026-04-20T02:59:44.548404Z,3.014403,344ca0ce843b,0,2026-04-20T02:59:41.564485Z,2026-04-20T02:59:44.534689Z,2970.20,6.249,0.15,0.00,0.10,233.84,2716.38,18.94,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.480,1.1977,119084,
8,200,2026-04-20T02:59:41.534371Z,2026-04-20T02:59:44.537467Z,3.003092,e01b9cf37858,0,2026-04-20T02:59:41.596332Z,2026-04-20T02:59:44.532320Z,2935.99,6.249,0.14,0.00,0.09,202.00,2716.38,15.86,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.420,1.2132,116204,
9,200,2026-04-20T02:59:41.534760Z,2026-04-20T02:59:44.581161Z,3.046398,ae57cbdb6ebf,0,2026-04-20T02:59:41.600646Z,2026-04-20T02:59:44.543742Z,2943.10,6.249,0.16,0.00,0.10,197.67,2716.38,27.17,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.540,1.1587,121964,
10,200,2026-04-20T02:59:41.535124Z,2026-04-20T02:59:44.551448Z,3.016321,9d20bdbf8a2e,0,2026-04-20T02:59:41.588006Z,2026-04-20T02:59:44.535769Z,2947.76,6.249,0.16,0.00,0.10,210.32,2716.38,19.45,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.790,1.0565,133964,
11,200,2026-04-20T02:59:41.535488Z,2026-04-20T02:59:44.564930Z,3.029439,6beefa3da4b0,0,2026-04-20T02:59:41.581546Z,2026-04-20T02:59:44.537482Z,2955.94,6.249,0.16,0.00,0.10,216.77,2716.38,21.47,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.880,1.0264,138284,
12,200,2026-04-20T02:59:41.535868Z,2026-04-20T02:59:44.561125Z,3.025253,b2ad662d1815,0,2026-04-20T02:59:41.564959Z,2026-04-20T02:59:44.538035Z,2973.08,6.249,0.15,0.00,0.10,233.37,2716.38,22.18,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.560,1.1614,122924,
13,200,2026-04-20T02:59:41.536241Z,2026-04-20T02:59:44.577968Z,3.041725,70eda74e7b8a,0,2026-04-20T02:59:41.586021Z,2026-04-20T02:59:44.540036Z,2954.01,6.249,0.14,0.00,0.09,212.32,2716.38,23.94,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.680,1.1022,128684,
14,200,2026-04-20T02:59:41.536613Z,2026-04-20T02:59:44.580481Z,3.043865,1d5b4e7ebfde,0,2026-04-20T02:59:41.586408Z,2026-04-20T02:59:44.540888Z,2954.48,6.249,0.16,0.00,0.10,211.92,2716.38,24.74,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.750,1.0744,132044,
15,200,2026-04-20T02:59:41.536978Z,2026-04-20T02:59:44.573125Z,3.036145,d9dcb20581e3,0,2026-04-20T02:59:41.587634Z,2026-04-20T02:59:44.538521Z,2950.89,6.249,0.14,0.00,0.09,210.70,2716.38,22.25,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.250,1.3115,108044,
16,200,2026-04-20T02:59:41.537348Z,2026-04-20T02:59:44.581011Z,3.043661,2c1eb51224b8,0,2026-04-20T02:59:41.586831Z,2026-04-20T02:59:44.541837Z,2955.01,6.249,0.14,0.00,0.09,211.51,2716.38,25.64,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.740,1.0785,131564,
17,200,2026-04-20T02:59:41.537721Z,2026-04-20T02:59:44.577465Z,3.039742,fe3ed6df3653,0,2026-04-20T02:59:41.565178Z,2026-04-20T02:59:44.543439Z,2978.26,6.249,0.15,0.00,0.09,233.15,2716.38,27.53,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.590,1.1499,124364,
18,200,2026-04-20T02:59:41.538085Z,2026-04-20T02:59:44.567908Z,3.02982,a669c7882014,0,2026-04-20T02:59:41.596035Z,2026-04-20T02:59:44.537620Z,2941.59,6.249,0.17,0.00,0.11,202.28,2716.38,21.20,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.790,1.0543,133964,
19,200,2026-04-20T02:59:41.538460Z,2026-04-20T02:59:44.581631Z,3.043168,aab370df34fb,0,2026-04-20T02:59:41.602207Z,2026-04-20T02:59:44.544174Z,2941.97,6.249,0.14,0.00,0.09,196.14,2716.38,27.49,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.880,1.0215,138284,
20,200,2026-04-20T02:59:41.538839Z,2026-04-20T02:59:44.581888Z,3.043046,25e49ac563e4,0,2026-04-20T02:59:41.585624Z,2026-04-20T02:59:44.544676Z,2959.05,6.249,0.15,0.00,0.10,212.70,2716.38,28.62,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.650,1.1166,127244,
21,200,2026-04-20T02:59:41.539318Z,2026-04-20T02:59:44.575858Z,3.036538,cdced1966756,0,2026-04-20T02:59:41.587223Z,2026-04-20T02:59:44.539001Z,2951.78,6.249,0.15,0.00,0.09,211.11,2716.38,22.77,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.620,1.1266,125804,
22,200,2026-04-20T02:59:41.539704Z,2026-04-20T02:59:44.542017Z,3.00231,b4905369b4e5,0,2026-04-20T02:59:41.595557Z,2026-04-20T02:59:44.533210Z,2937.65,6.249,0.16,0.00,0.11,202.76,2716.38,16.84,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.700,1.0880,129644,
23,200,2026-04-20T02:59:41.540070Z,2026-04-20T02:59:44.580794Z,3.040722,8349dce3697c,0,2026-04-20T02:59:41.600222Z,2026-04-20T02:59:44.541699Z,2941.48,6.249,0.15,0.00,0.10,198.10,2716.38,25.20,2716.06,24.95,1997.69,,713.55,521.25,192.31,,,,,,,,32,2144,672,88,short_noref,full,none,,2.400,1.2256,115244,
