index,status,local_started_at,local_finished_at,elapsed_s,request_id,started_at,finished_at,latency_ms,queue_wait_ms,batch_exec_ms,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-16T20:50:05.179797Z,2026-04-16T20:50:05.836265Z,0.656463,3b3a28f444be,2026-04-16T20:50:05.419030Z,2026-04-16T20:50:05.829703Z,410.67,2.10,403.81,2,126,200,163,short_ref,2.710,0.1515,130124,
1,200,2026-04-16T20:50:05.183790Z,2026-04-16T20:50:05.831564Z,0.647772,c158dfd91028,2026-04-16T20:50:05.419618Z,2026-04-16T20:50:05.828264Z,408.65,0.15,403.81,2,126,200,163,short_ref,2.660,0.1536,127724,
2,200,2026-04-16T20:50:05.184031Z,2026-04-16T20:50:10.644506Z,5.460474,a1f2562b1d3a,2026-04-16T20:50:05.420465Z,2026-04-16T20:50:10.613988Z,5193.52,403.87,4758.17,32,2016,3200,163,short_ref,2.620,1.9823,125804,
3,200,2026-04-16T20:50:05.184229Z,2026-04-16T20:50:10.652493Z,5.468262,9ce1b523764b,2026-04-16T20:50:05.421327Z,2026-04-16T20:50:10.620010Z,5198.68,408.12,4758.17,32,2016,3200,163,short_ref,2.700,1.9254,129644,
4,200,2026-04-16T20:50:05.184409Z,2026-04-16T20:50:10.643786Z,5.459376,463a34ceefae,2026-04-16T20:50:05.422098Z,2026-04-16T20:50:10.613486Z,5191.39,403.59,4758.17,32,2016,3200,163,short_ref,2.670,1.9443,128204,
5,200,2026-04-16T20:50:05.184584Z,2026-04-16T20:50:10.643734Z,5.459148,80427d723ff1,2026-04-16T20:50:05.427026Z,2026-04-16T20:50:10.612812Z,5185.79,402.58,4758.17,32,2016,3200,163,short_ref,2.660,1.9495,127724,
6,200,2026-04-16T20:50:05.184751Z,2026-04-16T20:50:10.614095Z,5.429342,77244b5ce4d4,2026-04-16T20:50:05.427994Z,2026-04-16T20:50:10.606283Z,5178.29,401.35,4758.17,32,2016,3200,163,short_ref,2.450,2.1136,117644,
7,200,2026-04-16T20:50:05.184927Z,2026-04-16T20:50:10.633049Z,5.44812,e5a61842910a,2026-04-16T20:50:05.428448Z,2026-04-16T20:50:10.610399Z,5181.95,401.07,4758.17,32,2016,3200,163,short_ref,2.600,1.9931,124844,
8,200,2026-04-16T20:50:05.185094Z,2026-04-16T20:50:10.614356Z,5.429261,6f2bcbc940de,2026-04-16T20:50:05.429064Z,2026-04-16T20:50:10.607421Z,5178.36,400.64,4758.17,32,2016,3200,163,short_ref,2.720,1.9038,130604,
9,200,2026-04-16T20:50:05.185313Z,2026-04-16T20:50:10.645091Z,5.459777,396ffaa05d19,2026-04-16T20:50:05.429998Z,2026-04-16T20:50:10.614462Z,5184.46,400.22,4758.17,32,2016,3200,163,short_ref,2.700,1.9202,129644,
10,200,2026-04-16T20:50:05.185496Z,2026-04-16T20:50:10.641608Z,5.456111,be1be64a2d3f,2026-04-16T20:50:05.430834Z,2026-04-16T20:50:10.611161Z,5180.33,399.36,4758.17,32,2016,3200,163,short_ref,2.550,2.0315,122444,
11,200,2026-04-16T20:50:05.185658Z,2026-04-16T20:50:10.645219Z,5.459559,f64d9b3caf8a,2026-04-16T20:50:05.431476Z,2026-04-16T20:50:10.615228Z,5183.75,398.59,4758.17,32,2016,3200,163,short_ref,2.700,1.9199,129644,
12,200,2026-04-16T20:50:05.185825Z,2026-04-16T20:50:10.644558Z,5.458732,e738b8f900a8,2026-04-16T20:50:05.431721Z,2026-04-16T20:50:10.614364Z,5182.64,397.85,4758.17,32,2016,3200,163,short_ref,2.620,1.9781,125804,
13,200,2026-04-16T20:50:05.185992Z,2026-04-16T20:50:10.620343Z,5.434349,6cbbe4b78807,2026-04-16T20:50:05.432842Z,2026-04-16T20:50:10.608182Z,5175.34,396.99,4758.17,32,2016,3200,163,short_ref,2.650,1.9530,127244,
14,200,2026-04-16T20:50:05.186158Z,2026-04-16T20:50:10.645488Z,5.459329,bb4c3c5ab10e,2026-04-16T20:50:05.433151Z,2026-04-16T20:50:10.615539Z,5182.39,393.57,4758.17,32,2016,3200,163,short_ref,2.700,1.9194,129644,
15,200,2026-04-16T20:50:05.186323Z,2026-04-16T20:50:10.649346Z,5.46297,e925021b1cac,2026-04-16T20:50:05.433710Z,2026-04-16T20:50:10.617835Z,5184.12,393.44,4758.17,32,2016,3200,163,short_ref,2.620,1.9787,125804,
16,200,2026-04-16T20:50:05.186557Z,2026-04-16T20:50:10.624725Z,5.438166,556e7926217c,2026-04-16T20:50:05.436926Z,2026-04-16T20:50:10.609877Z,5172.95,392.00,4758.17,32,2016,3200,163,short_ref,2.620,1.9744,125804,
17,200,2026-04-16T20:50:05.186783Z,2026-04-16T20:50:10.642781Z,5.455996,7a4cb6d031d5,2026-04-16T20:50:05.437887Z,2026-04-16T20:50:10.611881Z,5173.99,391.25,4758.17,32,2016,3200,163,short_ref,2.710,1.9092,130124,
18,200,2026-04-16T20:50:05.186948Z,2026-04-16T20:50:10.637975Z,5.451026,363d8fa1dd0c,2026-04-16T20:50:05.438169Z,2026-04-16T20:50:10.610660Z,5172.49,391.68,4758.17,32,2016,3200,163,short_ref,2.600,1.9894,124844,
19,200,2026-04-16T20:50:05.187111Z,2026-04-16T20:50:10.651602Z,5.464489,c17cc270a84b,2026-04-16T20:50:05.438972Z,2026-04-16T20:50:10.618040Z,5179.07,390.61,4758.17,32,2016,3200,163,short_ref,2.700,1.9182,129644,
20,200,2026-04-16T20:50:05.187277Z,2026-04-16T20:50:10.621681Z,5.434403,9e620a18d0e3,2026-04-16T20:50:05.439735Z,2026-04-16T20:50:10.609309Z,5169.57,389.42,4758.17,32,2016,3200,163,short_ref,2.630,1.9656,126284,
21,200,2026-04-16T20:50:05.187435Z,2026-04-16T20:50:10.652091Z,5.464655,a327ccc2c942,2026-04-16T20:50:05.440330Z,2026-04-16T20:50:10.619787Z,5179.46,388.59,4758.17,32,2016,3200,163,short_ref,2.700,1.9183,129644,
22,200,2026-04-16T20:50:05.187597Z,2026-04-16T20:50:10.615298Z,5.427696,7284b9641824,2026-04-16T20:50:05.440681Z,2026-04-16T20:50:10.607842Z,5167.16,388.72,4758.17,32,2016,3200,163,short_ref,2.630,1.9647,126284,
23,200,2026-04-16T20:50:05.187765Z,2026-04-16T20:50:10.640004Z,5.452237,308a8fff5c96,2026-04-16T20:50:05.441640Z,2026-04-16T20:50:10.610837Z,5169.20,382.08,4758.17,32,2016,3200,163,short_ref,2.710,1.9075,130124,
24,200,2026-04-16T20:50:05.187931Z,2026-04-16T20:50:10.646360Z,5.458427,9444f6aedb74,2026-04-16T20:50:05.441892Z,2026-04-16T20:50:10.615778Z,5173.89,387.86,4758.17,32,2016,3200,163,short_ref,2.710,1.9092,130124,
25,200,2026-04-16T20:50:05.188097Z,2026-04-16T20:50:10.623462Z,5.435363,9e08caffdfa8,2026-04-16T20:50:05.442986Z,2026-04-16T20:50:10.609449Z,5166.46,380.81,4758.17,32,2016,3200,163,short_ref,2.720,1.8994,130604,
