index,status,local_started_at,local_finished_at,elapsed_s,request_id,started_at,finished_at,latency_ms,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T03:07:16.458673Z,2026-04-17T03:07:17.120655Z,0.661979,94f59cab9a35,2026-04-17T03:07:16.511241Z,2026-04-17T03:07:17.118248Z,607.01,0.80,0.49,0.23,11.16,594.11,0.68,1,63,100,163,short_ref,upload_hit,,2.710,0.2240,130124,
1,200,2026-04-17T03:07:16.458972Z,2026-04-17T03:07:22.478014Z,6.01904,303ed6114ae4,2026-04-17T03:07:16.523364Z,2026-04-17T03:07:22.464254Z,5940.89,4.86,4.65,0.15,591.64,5322.98,18.97,32,2016,3200,163,short_ref,upload_hit,,2.720,2.1842,130604,
2,200,2026-04-17T03:07:16.459173Z,2026-04-17T03:07:22.485905Z,6.026731,1bae5ff0208a,2026-04-17T03:07:16.581924Z,2026-04-17T03:07:22.464844Z,5882.92,0.59,0.31,0.21,537.34,5322.98,21.28,32,2016,3200,163,short_ref,upload_hit,,2.600,2.2627,124844,
3,200,2026-04-17T03:07:16.459361Z,2026-04-17T03:07:22.492349Z,6.032986,9486864651b6,2026-04-17T03:07:16.581240Z,2026-04-17T03:07:22.465779Z,5884.54,0.94,0.75,0.14,537.68,5322.98,22.16,32,2016,3200,163,short_ref,upload_hit,,2.640,2.2290,126764,
4,200,2026-04-17T03:07:16.459544Z,2026-04-17T03:07:22.478791Z,6.019245,67299f7562f4,2026-04-17T03:07:16.538375Z,2026-04-17T03:07:22.464385Z,5926.01,1.85,1.61,0.20,579.63,5322.98,20.94,32,2016,3200,163,short_ref,upload_hit,,2.660,2.2278,127724,
5,200,2026-04-17T03:07:16.459731Z,2026-04-17T03:07:22.469377Z,6.009643,bbec0be35471,2026-04-17T03:07:16.591530Z,2026-04-17T03:07:22.460449Z,5868.92,0.23,0.12,0.07,528.10,5322.98,16.59,32,2016,3200,163,short_ref,upload_hit,,2.720,2.1577,130604,
6,200,2026-04-17T03:07:16.459913Z,2026-04-17T03:07:22.498098Z,6.038183,9fa5f868eec1,2026-04-17T03:07:16.583161Z,2026-04-17T03:07:22.466602Z,5883.44,4.84,4.69,0.11,531.86,5322.98,22.79,32,2016,3200,163,short_ref,upload_hit,,2.580,2.2804,123884,
7,200,2026-04-17T03:07:16.460100Z,2026-04-17T03:07:22.489016Z,6.028914,10c2ec65b090,2026-04-17T03:07:16.554826Z,2026-04-17T03:07:22.465457Z,5910.63,0.43,0.29,0.10,564.60,5322.98,21.93,32,2016,3200,163,short_ref,upload_hit,,2.710,2.1810,130124,
8,200,2026-04-17T03:07:16.460294Z,2026-04-17T03:07:22.473842Z,6.013546,0a2c8d2c92cf,2026-04-17T03:07:16.590412Z,2026-04-17T03:07:22.462991Z,5872.58,0.57,0.42,0.11,528.87,5322.98,19.08,32,2016,3200,163,short_ref,upload_hit,,2.720,2.1590,130604,
9,200,2026-04-17T03:07:16.460480Z,2026-04-17T03:07:22.477214Z,6.016732,4ce3f82e9e9b,2026-04-17T03:07:16.592476Z,2026-04-17T03:07:22.463801Z,5871.32,0.60,0.49,0.08,526.77,5322.98,19.68,32,2016,3200,163,short_ref,upload_hit,,2.720,2.1586,130604,
10,200,2026-04-17T03:07:16.460667Z,2026-04-17T03:07:22.498028Z,6.037359,51d4a1116bcb,2026-04-17T03:07:16.581593Z,2026-04-17T03:07:22.466313Z,5884.72,1.51,1.25,0.20,536.76,5322.98,22.63,32,2016,3200,163,short_ref,upload_hit,,2.710,2.1715,130124,
11,200,2026-04-17T03:07:16.460857Z,2026-04-17T03:07:22.475414Z,6.014556,682e8a1e686c,2026-04-17T03:07:16.590206Z,2026-04-17T03:07:22.463383Z,5873.18,0.46,0.30,0.12,529.19,5322.98,19.63,32,2016,3200,163,short_ref,upload_hit,,2.700,2.1753,129644,
12,200,2026-04-17T03:07:16.461120Z,2026-04-17T03:07:22.470086Z,6.008965,6853ea5d435d,2026-04-17T03:07:16.591041Z,2026-04-17T03:07:22.461447Z,5870.41,0.27,0.13,0.10,528.55,5322.98,17.39,32,2016,3200,163,short_ref,upload_hit,,2.710,2.1662,130124,
13,200,2026-04-17T03:07:16.461316Z,2026-04-17T03:07:22.499541Z,6.038224,4c0ed2f9a0b7,2026-04-17T03:07:16.592066Z,2026-04-17T03:07:22.469388Z,5877.32,0.64,0.52,0.08,527.15,5322.98,25.42,32,2016,3200,163,short_ref,upload_hit,,2.680,2.1930,128684,
