index,status,local_started_at,local_finished_at,elapsed_s,request_id,started_at,finished_at,latency_ms,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T15:46:47.650455Z,2026-04-17T15:46:48.082719Z,0.432261,86efa05358f1,2026-04-17T15:46:47.712355Z,2026-04-17T15:46:48.079523Z,367.17,1.04,0.73,0.22,4.77,360.24,0.87,2,126,200,163,short_ref,upload_hit,,2.700,0.1360,129644,
1,200,2026-04-17T15:46:47.650776Z,2026-04-17T15:46:48.083050Z,0.432272,57329f12c8a3,2026-04-17T15:46:47.717318Z,2026-04-17T15:46:48.079750Z,362.43,0.76,0.65,0.08,0.08,360.24,1.05,2,126,200,163,short_ref,upload_hit,,2.710,0.1337,130124,
2,200,2026-04-17T15:46:47.650992Z,2026-04-17T15:46:53.512973Z,5.86198,a81642d00b4d,2026-04-17T15:46:47.760720Z,2026-04-17T15:46:53.475576Z,5714.86,0.32,0.19,0.10,320.33,5364.82,28.45,32,2016,3200,163,short_ref,upload_hit,,2.710,2.1088,130124,
3,200,2026-04-17T15:46:47.651197Z,2026-04-17T15:46:53.480653Z,5.829454,cce103442731,2026-04-17T15:46:47.753947Z,2026-04-17T15:46:53.467162Z,5713.22,0.57,0.29,0.22,326.86,5364.82,20.31,32,2016,3200,163,short_ref,upload_hit,,2.690,2.1239,129164,
4,200,2026-04-17T15:46:47.651396Z,2026-04-17T15:46:53.490674Z,5.839276,1f79d3005396,2026-04-17T15:46:47.727228Z,2026-04-17T15:46:53.469887Z,5742.66,0.92,0.66,0.18,353.23,5364.82,23.15,32,2016,3200,163,short_ref,upload_hit,,2.700,2.1269,129644,
5,200,2026-04-17T15:46:47.651598Z,2026-04-17T15:46:53.513178Z,5.861579,03715eef4c12,2026-04-17T15:46:47.769160Z,2026-04-17T15:46:53.476760Z,5707.60,0.38,0.24,0.10,311.83,5364.82,29.48,32,2016,3200,163,short_ref,upload_hit,,2.700,2.1139,129644,
6,200,2026-04-17T15:46:47.651794Z,2026-04-17T15:46:53.492729Z,5.840932,0de934f96245,2026-04-17T15:46:47.763282Z,2026-04-17T15:46:53.470233Z,5706.95,0.35,0.20,0.10,317.74,5364.82,23.03,32,2016,3200,163,short_ref,upload_hit,,2.690,2.1215,129164,
7,200,2026-04-17T15:46:47.651990Z,2026-04-17T15:46:53.487447Z,5.835454,0f23fdd4a202,2026-04-17T15:46:47.733945Z,2026-04-17T15:46:53.469717Z,5735.77,0.46,0.32,0.11,346.96,5364.82,22.93,32,2016,3200,163,short_ref,upload_hit,,2.690,2.1323,129164,
8,200,2026-04-17T15:46:47.652190Z,2026-04-17T15:46:53.498987Z,5.846794,3f5da8f429e2,2026-04-17T15:46:47.772372Z,2026-04-17T15:46:53.471047Z,5698.67,0.78,0.43,0.27,308.22,5364.82,20.13,32,2016,3200,163,short_ref,upload_hit,,2.700,2.1106,129644,
9,200,2026-04-17T15:46:47.652393Z,2026-04-17T15:46:53.508358Z,5.855964,44b34c1389ac,2026-04-17T15:46:47.778369Z,2026-04-17T15:46:53.472907Z,5694.54,3.31,3.10,0.17,299.69,5364.82,21.45,32,2016,3200,163,short_ref,upload_hit,,2.720,2.0936,130604,
