index,status,local_started_at,local_finished_at,elapsed_s,request_id,replica_index,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,audio_decode_ms,post_process_audio_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,postprocess_mode,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T23:32:13.004631Z,2026-04-17T23:32:13.453872Z,0.449239,943bc48309b1,0,2026-04-17T23:32:13.065066Z,2026-04-17T23:32:13.449624Z,384.56,3.076,0.62,0.38,0.18,7.41,374.66,1.31,374.12,10.32,176.66,,191.25,176.47,14.78,15,61.00,61.00,8.823,8.823,36.76,36.76,2,126,200,163,short_ref,full,upload_hit,,2.710,0.1419,130124,
1,200,2026-04-17T23:32:13.004930Z,2026-04-17T23:32:13.452899Z,0.447966,2cf044f0b4aa,0,2026-04-17T23:32:13.072529Z,2026-04-17T23:32:13.449493Z,376.96,3.076,0.46,0.24,0.17,0.10,374.66,1.12,374.12,10.32,176.66,,191.25,176.47,14.78,15,61.00,61.00,8.823,8.823,36.76,36.76,2,126,200,163,short_ref,full,upload_hit,,2.710,0.1391,130124,
2,200,2026-04-17T23:32:13.005138Z,2026-04-17T23:32:18.255206Z,5.250067,6c0a2eeb71d2,0,2026-04-17T23:32:13.114733Z,2026-04-17T23:32:18.211191Z,5096.46,3.076,0.55,0.38,0.12,336.00,4730.52,27.90,4730.05,21.47,4030.23,,695.41,536.74,158.67,185,96.49,100.00,9.457,9.463,39.40,39.43,32,2016,3200,163,short_ref,full,upload_hit,,2.630,1.9378,126284,
3,200,2026-04-17T23:32:13.005334Z,2026-04-17T23:32:18.249800Z,5.244464,ae04823d8f62,0,2026-04-17T23:32:13.108237Z,2026-04-17T23:32:18.208988Z,5100.75,3.076,0.49,0.22,0.21,342.55,4730.52,25.95,4730.05,21.47,4030.23,,695.41,536.74,158.67,185,96.49,100.00,9.457,9.463,39.40,39.43,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.8822,130124,
4,200,2026-04-17T23:32:13.005525Z,2026-04-17T23:32:18.238161Z,5.232635,9a26898eecfb,0,2026-04-17T23:32:13.086174Z,2026-04-17T23:32:18.207882Z,5121.71,3.076,1.49,1.34,0.11,363.61,4730.52,24.98,4730.05,21.47,4030.23,,695.41,536.74,158.67,185,96.49,100.00,9.457,9.463,39.40,39.43,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.8899,130124,
5,200,2026-04-17T23:32:13.005725Z,2026-04-17T23:32:18.262047Z,5.256321,5a82d830b8bb,0,2026-04-17T23:32:13.130445Z,2026-04-17T23:32:18.215960Z,5085.52,3.076,0.53,0.35,0.14,320.30,4730.52,32.36,4730.05,21.47,4030.23,,695.41,536.74,158.67,185,96.49,100.00,9.457,9.463,39.40,39.43,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.8766,130124,
6,200,2026-04-17T23:32:13.005917Z,2026-04-17T23:32:18.258050Z,5.252132,25097703aafe,0,2026-04-17T23:32:13.115011Z,2026-04-17T23:32:18.212385Z,5097.37,3.076,0.54,0.41,0.10,335.72,4730.52,29.17,4730.05,21.47,4030.23,,695.41,536.74,158.67,185,96.49,100.00,9.457,9.463,39.40,39.43,32,2016,3200,163,short_ref,full,upload_hit,,2.720,1.8740,130604,
7,200,2026-04-17T23:32:13.006104Z,2026-04-17T23:32:18.241661Z,5.235556,2d0524ce9daf,0,2026-04-17T23:32:13.090847Z,2026-04-17T23:32:18.208812Z,5117.97,3.076,1.66,1.36,0.21,358.78,4730.52,25.84,4730.05,21.47,4030.23,,695.41,536.74,158.67,185,96.49,100.00,9.457,9.463,39.40,39.43,32,2016,3200,163,short_ref,full,upload_hit,,2.720,1.8816,130604,
8,200,2026-04-17T23:32:13.006299Z,2026-04-17T23:32:18.255337Z,5.249036,147c4f0ac76a,0,2026-04-17T23:32:13.121648Z,2026-04-17T23:32:18.212140Z,5090.49,3.076,0.62,0.36,0.21,329.01,4730.52,28.66,4730.05,21.47,4030.23,,695.41,536.74,158.67,185,96.49,100.00,9.457,9.463,39.40,39.43,32,2016,3200,163,short_ref,full,upload_hit,,2.690,1.8924,129164,
9,200,2026-04-17T23:32:13.006502Z,2026-04-17T23:32:18.261572Z,5.255068,58c1557daa2f,0,2026-04-17T23:32:13.136018Z,2026-04-17T23:32:18.214457Z,5078.44,3.076,1.11,0.98,0.09,314.15,4730.52,30.62,4730.05,21.47,4030.23,,695.41,536.74,158.67,185,96.49,100.00,9.457,9.463,39.40,39.43,32,2016,3200,163,short_ref,full,upload_hit,,2.600,1.9532,124844,
