index,status,local_started_at,local_finished_at,elapsed_s,request_id,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T18:31:38.642049Z,2026-04-17T18:31:39.510613Z,0.868562,53ba264dd66b,2026-04-17T18:31:38.783271Z,2026-04-17T18:31:39.506419Z,723.15,2.024,0.37,0.24,0.10,0.41,720.20,1.59,28,84.11,100.00,3.100,3.100,12.92,12.92,4,252,400,163,short_ref,upload_hit,,2.700,0.2678,129644,
1,200,2026-04-17T18:31:38.642360Z,2026-04-17T18:31:39.509915Z,0.867552,c7bb08635274,2026-04-17T18:31:38.783366Z,2026-04-17T18:31:39.506110Z,722.74,2.024,0.61,0.50,0.07,0.08,720.20,1.24,28,84.11,100.00,3.100,3.100,12.92,12.92,4,252,400,163,short_ref,upload_hit,,2.710,0.2667,130124,
2,200,2026-04-17T18:31:38.642570Z,2026-04-17T18:31:44.845390Z,6.202819,75f2c5799ecd,2026-04-17T18:31:38.826717Z,2026-04-17T18:31:44.834351Z,6007.63,3.506,0.65,0.41,0.19,680.86,5300.58,24.65,204,81.37,100.00,5.387,5.467,22.44,22.78,32,2016,3200,163,short_ref,upload_hit,,2.720,2.2087,130604,
3,200,2026-04-17T18:31:38.642770Z,2026-04-17T18:31:44.893186Z,6.250414,aceb3cbf092e,2026-04-17T18:31:38.827733Z,2026-04-17T18:31:44.843158Z,6015.42,3.506,0.52,0.38,0.10,679.98,5300.58,33.17,204,81.37,100.00,5.387,5.467,22.44,22.78,32,2016,3200,163,short_ref,upload_hit,,2.690,2.2362,129164,
4,200,2026-04-17T18:31:38.642964Z,2026-04-17T18:31:39.510525Z,0.867559,38cf5a7f807f,2026-04-17T18:31:38.783461Z,2026-04-17T18:31:39.506304Z,722.84,2.024,0.38,0.20,0.12,0.21,720.20,1.40,28,84.11,100.00,3.100,3.100,12.92,12.92,4,252,400,163,short_ref,upload_hit,,2.700,0.2677,129644,
5,200,2026-04-17T18:31:38.643158Z,2026-04-17T18:31:44.894431Z,6.251272,0d1da1528b3e,2026-04-17T18:31:38.829792Z,2026-04-17T18:31:44.843821Z,6014.03,3.506,0.55,0.41,0.09,677.91,5300.58,33.64,204,81.37,100.00,5.387,5.467,22.44,22.78,32,2016,3200,163,short_ref,upload_hit,,2.710,2.2192,130124,
6,200,2026-04-17T18:31:38.643350Z,2026-04-17T18:31:44.859266Z,6.215914,2b2d8e60dda8,2026-04-17T18:31:38.827419Z,2026-04-17T18:31:44.837246Z,6009.83,3.506,0.56,0.45,0.08,680.25,5300.58,27.38,204,81.37,100.00,5.387,5.467,22.44,22.78,32,2016,3200,163,short_ref,upload_hit,,2.710,2.2176,130124,
7,200,2026-04-17T18:31:38.643538Z,2026-04-17T18:31:39.514859Z,0.871319,46c55a4c450f,2026-04-17T18:31:38.769839Z,2026-04-17T18:31:39.507314Z,737.48,2.024,6.44,6.17,0.20,7.78,720.20,2.59,28,84.11,100.00,3.100,3.100,12.92,12.92,4,252,400,163,short_ref,upload_hit,,2.710,0.2721,130124,
8,200,2026-04-17T18:31:38.643732Z,2026-04-17T18:31:44.889314Z,6.24558,874e09939fcf,2026-04-17T18:31:38.828938Z,2026-04-17T18:31:44.841267Z,6012.33,3.506,0.54,0.38,0.12,678.76,5300.58,31.18,204,81.37,100.00,5.387,5.467,22.44,22.78,32,2016,3200,163,short_ref,upload_hit,,2.720,2.2104,130604,
9,200,2026-04-17T18:31:38.643928Z,2026-04-17T18:31:44.873363Z,6.229432,ffa150d800a2,2026-04-17T18:31:38.837759Z,2026-04-17T18:31:44.839417Z,6001.66,3.506,0.40,0.28,0.09,670.07,5300.58,28.99,204,81.37,100.00,5.387,5.467,22.44,22.78,32,2016,3200,163,short_ref,upload_hit,,2.720,2.2065,130604,
10,200,2026-04-17T18:31:38.644118Z,2026-04-17T18:31:44.842145Z,6.198025,df39a017c317,2026-04-17T18:31:38.825813Z,2026-04-17T18:31:44.833974Z,6008.16,3.506,0.79,0.43,0.27,681.63,5300.58,21.73,204,81.37,100.00,5.387,5.467,22.44,22.78,32,2016,3200,163,short_ref,upload_hit,,2.700,2.2252,129644,
11,200,2026-04-17T18:31:38.644382Z,2026-04-17T18:31:44.872781Z,6.228397,0cf76476b355,2026-04-17T18:31:38.828290Z,2026-04-17T18:31:44.838710Z,6010.42,3.506,0.55,0.30,0.20,679.39,5300.58,28.93,204,81.37,100.00,5.387,5.467,22.44,22.78,32,2016,3200,163,short_ref,upload_hit,,2.590,2.3206,124364,
12,200,2026-04-17T18:31:38.644580Z,2026-04-17T18:31:44.864279Z,6.219697,963284901f78,2026-04-17T18:31:38.829186Z,2026-04-17T18:31:44.838022Z,6008.84,3.506,0.57,0.44,0.10,678.47,5300.58,22.81,204,81.37,100.00,5.387,5.467,22.44,22.78,32,2016,3200,163,short_ref,upload_hit,,2.570,2.3381,123404,
13,200,2026-04-17T18:31:38.644780Z,2026-04-17T18:31:44.891430Z,6.246649,5e1a1c4804fa,2026-04-17T18:31:38.830379Z,2026-04-17T18:31:44.841692Z,6011.31,3.506,7.33,7.19,0.10,670.52,5300.58,27.32,204,81.37,100.00,5.387,5.467,22.44,22.78,32,2016,3200,163,short_ref,upload_hit,,2.640,2.2770,126764,
14,200,2026-04-17T18:31:38.644975Z,2026-04-17T18:31:44.878802Z,6.233824,bbfddac18e3f,2026-04-17T18:31:38.868927Z,2026-04-17T18:31:44.840009Z,5971.08,3.506,2.95,2.82,0.09,636.36,5300.58,28.89,204,81.37,100.00,5.387,5.467,22.44,22.78,32,2016,3200,163,short_ref,upload_hit,,2.700,2.2115,129644,
