index,status,local_started_at,local_finished_at,elapsed_s,request_id,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T19:52:40.771245Z,2026-04-17T19:52:41.224942Z,0.453696,b59f553aec7f,2026-04-17T19:52:40.842464Z,2026-04-17T19:52:41.221767Z,379.30,1.974,0.59,0.35,0.18,7.33,369.43,1.42,367.71,7.59,183.95,,178.39,14,100.00,100.00,2.942,2.942,12.26,12.26,2,126,200,163,short_ref,upload_hit,,2.710,0.1400,130124,
1,200,2026-04-17T19:52:40.771542Z,2026-04-17T19:52:41.224819Z,0.453276,40e991f89f3b,2026-04-17T19:52:40.849413Z,2026-04-17T19:52:41.221404Z,371.99,1.974,0.44,0.17,0.20,0.53,369.43,0.95,367.71,7.59,183.95,,178.39,14,100.00,100.00,2.942,2.942,12.26,12.26,2,126,200,163,short_ref,upload_hit,,2.620,0.1420,125804,
2,200,2026-04-17T19:52:40.771753Z,2026-04-17T19:52:46.716352Z,5.944597,4350e8c5a189,2026-04-17T19:52:40.892632Z,2026-04-17T19:52:46.661781Z,5769.15,3.496,0.91,0.67,0.19,329.78,5402.55,34.67,5401.79,16.04,4747.94,,649.60,206,95.63,100.00,5.261,5.346,21.92,22.28,32,2016,3200,163,short_ref,upload_hit,,2.700,2.1367,129644,
3,200,2026-04-17T19:52:40.771956Z,2026-04-17T19:52:46.716502Z,5.944544,3005bb2ba1c9,2026-04-17T19:52:40.886976Z,2026-04-17T19:52:46.662161Z,5775.18,3.496,3.77,3.48,0.22,332.58,5402.55,35.28,5401.79,16.04,4747.94,,649.60,206,95.63,100.00,5.261,5.346,21.92,22.28,32,2016,3200,163,short_ref,upload_hit,,2.710,2.1311,130124,
4,200,2026-04-17T19:52:40.772153Z,2026-04-17T19:52:46.672212Z,5.900057,48e3772cf69f,2026-04-17T19:52:40.867015Z,2026-04-17T19:52:46.652216Z,5785.20,3.496,0.53,0.23,0.23,355.78,5402.55,25.53,5401.79,16.04,4747.94,,649.60,206,95.63,100.00,5.261,5.346,21.92,22.28,32,2016,3200,163,short_ref,upload_hit,,2.670,2.1667,128204,
5,200,2026-04-17T19:52:40.772354Z,2026-04-17T19:52:46.662898Z,5.890542,dfc4269e0496,2026-04-17T19:52:40.904433Z,2026-04-17T19:52:46.649642Z,5745.21,3.496,0.47,0.35,0.09,318.41,5402.55,22.20,5401.79,16.04,4747.94,,649.60,206,95.63,100.00,5.261,5.346,21.92,22.28,32,2016,3200,163,short_ref,upload_hit,,2.710,2.1200,130124,
6,200,2026-04-17T19:52:40.772556Z,2026-04-17T19:52:46.693396Z,5.920839,a92919dca430,2026-04-17T19:52:40.893109Z,2026-04-17T19:52:46.653611Z,5760.50,3.496,2.74,2.51,0.18,327.47,5402.55,23.41,5401.79,16.04,4747.94,,649.60,206,95.63,100.00,5.261,5.346,21.92,22.28,32,2016,3200,163,short_ref,upload_hit,,2.700,2.1335,129644,
7,200,2026-04-17T19:52:40.772746Z,2026-04-17T19:52:46.692964Z,5.920214,d227f343ac32,2026-04-17T19:52:40.871588Z,2026-04-17T19:52:46.654928Z,5783.34,3.496,1.96,1.70,0.20,349.78,5402.55,28.17,5401.79,16.04,4747.94,,649.60,206,95.63,100.00,5.261,5.346,21.92,22.28,32,2016,3200,163,short_ref,upload_hit,,2.700,2.1420,129644,
8,200,2026-04-17T19:52:40.772961Z,2026-04-17T19:52:46.715530Z,5.942567,ffd99969e478,2026-04-17T19:52:40.900137Z,2026-04-17T19:52:46.659519Z,5759.38,3.496,0.59,0.35,0.19,322.59,5402.55,32.23,5401.79,16.04,4747.94,,649.60,206,95.63,100.00,5.261,5.346,21.92,22.28,32,2016,3200,163,short_ref,upload_hit,,2.650,2.1734,127244,
9,200,2026-04-17T19:52:40.773171Z,2026-04-17T19:52:46.709240Z,5.936068,e8abd5ee6d52,2026-04-17T19:52:40.910669Z,2026-04-17T19:52:46.656236Z,5745.57,3.496,0.31,0.13,0.13,312.34,5402.55,28.74,5401.79,16.04,4747.94,,649.60,206,95.63,100.00,5.261,5.346,21.92,22.28,32,2016,3200,163,short_ref,upload_hit,,2.660,2.1600,127724,
