index,status,local_started_at,local_finished_at,elapsed_s,request_id,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,audio_decode_ms,post_process_audio_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,postprocess_mode,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T20:19:55.468092Z,2026-04-17T20:19:56.331781Z,0.863686,03923d624ad1,2026-04-17T20:19:55.580369Z,2026-04-17T20:19:56.328998Z,748.63,3.028,7.74,7.60,0.10,0.07,738.42,1.63,737.76,15.31,469.74,,264.42,238.76,25.66,29,32.10,33.00,8.756,8.758,36.48,36.49,4,252,400,163,short_ref,full,upload_hit,,2.530,0.2959,121484,
1,200,2026-04-17T20:19:55.468387Z,2026-04-17T20:19:56.339171Z,0.870782,bfa09ea5c2ea,2026-04-17T20:19:55.580594Z,2026-04-17T20:19:56.330630Z,750.04,3.028,7.34,7.23,0.07,0.24,738.42,3.39,737.76,15.31,469.74,,264.42,238.76,25.66,29,32.10,33.00,8.756,8.758,36.48,36.49,4,252,400,163,short_ref,full,upload_hit,,2.700,0.2778,129644,
2,200,2026-04-17T20:19:55.468598Z,2026-04-17T20:20:01.191917Z,5.723318,d6cdd59a0bfe,2026-04-17T20:19:55.669859Z,2026-04-17T20:20:01.139143Z,5469.28,3.028,0.39,0.25,0.10,662.06,4772.51,33.50,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.640,2.0717,126764,
3,200,2026-04-17T20:19:55.468796Z,2026-04-17T20:20:01.132935Z,5.664137,c964d9a251bf,2026-04-17T20:19:55.668294Z,2026-04-17T20:20:01.125086Z,5456.79,3.028,0.66,0.36,0.23,663.36,4772.51,19.49,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.700,2.0210,129644,
4,200,2026-04-17T20:19:55.468994Z,2026-04-17T20:19:56.340780Z,0.871785,f90a8e729d0e,2026-04-17T20:19:55.580279Z,2026-04-17T20:19:56.332563Z,752.28,3.028,6.09,5.79,0.22,1.82,738.42,5.24,737.76,15.31,469.74,,264.42,238.76,25.66,29,32.10,33.00,8.756,8.758,36.48,36.49,4,252,400,163,short_ref,full,upload_hit,,2.440,0.3083,117164,
5,200,2026-04-17T20:19:55.469189Z,2026-04-17T20:20:01.177396Z,5.708205,8346aaae04fa,2026-04-17T20:19:55.672036Z,2026-04-17T20:20:01.130442Z,5458.41,3.028,0.55,0.44,0.08,659.73,4772.51,24.29,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.710,2.0142,130124,
6,200,2026-04-17T20:19:55.469381Z,2026-04-17T20:20:01.153025Z,5.683642,ad7befa254d0,2026-04-17T20:19:55.670312Z,2026-04-17T20:20:01.128210Z,5457.90,3.028,0.77,0.54,0.18,661.24,4772.51,22.51,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.700,2.0214,129644,
7,200,2026-04-17T20:19:55.469568Z,2026-04-17T20:19:56.333640Z,0.864071,68cbec1c39ab,2026-04-17T20:19:55.580491Z,2026-04-17T20:19:56.329135Z,748.64,3.028,5.51,5.23,0.21,2.19,738.42,1.96,737.76,15.31,469.74,,264.42,238.76,25.66,29,32.10,33.00,8.756,8.758,36.48,36.49,4,252,400,163,short_ref,full,upload_hit,,2.660,0.2814,127724,
8,200,2026-04-17T20:19:55.469763Z,2026-04-17T20:20:01.139230Z,5.669466,6ebbf6bc5a3a,2026-04-17T20:19:55.671122Z,2026-04-17T20:20:01.127072Z,5455.95,3.028,0.31,0.18,0.09,660.88,4772.51,21.21,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.450,2.2269,117644,
9,200,2026-04-17T20:19:55.469959Z,2026-04-17T20:20:01.187726Z,5.717766,007b1dfa3edc,2026-04-17T20:19:55.673133Z,2026-04-17T20:20:01.133763Z,5460.63,3.028,0.74,0.60,0.10,658.45,4772.51,27.57,4771.83,19.44,4058.23,,709.48,513.42,196.06,188,96.08,100.00,9.392,9.399,39.13,39.16,32,2016,3200,163,short_ref,full,upload_hit,,2.700,2.0225,129644,
