index,status,local_started_at,local_finished_at,elapsed_s,request_id,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,audio_decode_ms,post_process_audio_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,postprocess_mode,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T22:37:27.138110Z,2026-04-17T22:37:27.582239Z,0.444127,90cf344e5878,2026-04-17T22:37:27.204687Z,2026-04-17T22:37:27.578773Z,374.09,3.054,2.70,2.43,0.20,7.63,361.92,1.23,361.37,13.92,190.01,,167.77,159.13,8.64,14,48.00,96.00,10.407,10.407,43.36,43.36,2,126,200,163,short_ref,full,upload_hit,,2.660,0.1406,127724,
1,200,2026-04-17T22:37:27.138431Z,2026-04-17T22:37:27.581886Z,0.443452,49781d8c6532,2026-04-17T22:37:27.211529Z,2026-04-17T22:37:27.578627Z,367.10,3.054,3.39,3.12,0.20,0.10,361.92,1.17,361.37,13.92,190.01,,167.77,159.13,8.64,14,48.00,96.00,10.407,10.407,43.36,43.36,2,126,200,163,short_ref,full,upload_hit,,2.710,0.1355,130124,
2,200,2026-04-17T22:37:27.138647Z,2026-04-17T22:37:32.311487Z,5.172838,a84c426ef21d,2026-04-17T22:37:27.274011Z,2026-04-17T22:37:32.296015Z,5022.00,3.054,0.76,0.49,0.20,305.79,4693.42,21.10,4692.51,16.60,4016.32,,671.88,529.53,142.35,186,99.29,100.00,11.042,11.047,46.01,46.03,32,2016,3200,163,short_ref,full,upload_hit,,2.700,1.8600,129644,
3,200,2026-04-17T22:37:27.138848Z,2026-04-17T22:37:32.335865Z,5.197014,347ff20fba5d,2026-04-17T22:37:27.275657Z,2026-04-17T22:37:32.301469Z,5025.81,3.054,0.37,0.26,0.08,304.52,4693.42,26.34,4692.51,16.60,4016.32,,671.88,529.53,142.35,186,99.29,100.00,11.042,11.047,46.01,46.03,32,2016,3200,163,short_ref,full,upload_hit,,2.720,1.8477,130604,
4,200,2026-04-17T22:37:27.139050Z,2026-04-17T22:37:32.313479Z,5.174428,28d441016ede,2026-04-17T22:37:27.231728Z,2026-04-17T22:37:32.296855Z,5065.13,3.054,0.62,0.22,0.33,348.21,4693.42,22.04,4692.51,16.60,4016.32,,671.88,529.53,142.35,186,99.29,100.00,11.042,11.047,46.01,46.03,32,2016,3200,163,short_ref,full,upload_hit,,2.700,1.8760,129644,
5,200,2026-04-17T22:37:27.139247Z,2026-04-17T22:37:32.330789Z,5.19154,1ae0878ad951,2026-04-17T22:37:27.276602Z,2026-04-17T22:37:32.300089Z,5023.49,3.054,0.53,0.39,0.10,303.42,4693.42,24.86,4692.51,16.60,4016.32,,671.88,529.53,142.35,186,99.29,100.00,11.042,11.047,46.01,46.03,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.8537,130124,
6,200,2026-04-17T22:37:27.139443Z,2026-04-17T22:37:32.312379Z,5.172934,fe636201f336,2026-04-17T22:37:27.274438Z,2026-04-17T22:37:32.296427Z,5021.99,3.054,0.72,0.47,0.20,305.40,4693.42,16.02,4692.51,16.60,4016.32,,671.88,529.53,142.35,186,99.29,100.00,11.042,11.047,46.01,46.03,32,2016,3200,163,short_ref,full,upload_hit,,2.690,1.8669,129164,
7,200,2026-04-17T22:37:27.139635Z,2026-04-17T22:37:32.322125Z,5.182488,8067591471f9,2026-04-17T22:37:27.235169Z,2026-04-17T22:37:32.298877Z,5063.71,3.054,0.30,0.14,0.11,345.09,4693.42,23.99,4692.51,16.60,4016.32,,671.88,529.53,142.35,186,99.29,100.00,11.042,11.047,46.01,46.03,32,2016,3200,163,short_ref,full,upload_hit,,2.720,1.8617,130604,
8,200,2026-04-17T22:37:27.139835Z,2026-04-17T22:37:32.326492Z,5.186655,9f2e7fbf37f5,2026-04-17T22:37:27.276064Z,2026-04-17T22:37:32.299367Z,5023.30,3.054,0.66,0.58,0.06,303.83,4693.42,22.65,4692.51,16.60,4016.32,,671.88,529.53,142.35,186,99.29,100.00,11.042,11.047,46.01,46.03,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.8536,130124,
9,200,2026-04-17T22:37:27.140038Z,2026-04-17T22:37:32.318182Z,5.178142,01acc34dbadf,2026-04-17T22:37:27.284011Z,2026-04-17T22:37:32.298641Z,5014.63,3.054,0.90,0.73,0.12,295.65,4693.42,23.36,4692.51,16.60,4016.32,,671.88,529.53,142.35,186,99.29,100.00,11.042,11.047,46.01,46.03,32,2016,3200,163,short_ref,full,upload_hit,,2.630,1.9067,126284,
