index,status,local_started_at,local_finished_at,elapsed_s,request_id,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,audio_decode_ms,post_process_audio_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,postprocess_mode,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T20:20:18.178568Z,2026-04-17T20:20:18.617208Z,0.438637,3b2ffb63b371,2026-04-17T20:20:18.239848Z,2026-04-17T20:20:18.614058Z,374.21,3.028,2.15,1.82,0.24,5.65,364.97,0.86,364.36,14.21,182.05,,178.79,178.12,0.67,15,86.00,100.00,9.399,9.399,39.16,39.16,2,126,200,163,short_ref,light,upload_hit,,2.678,0.1397,128576,
1,200,2026-04-17T20:20:18.178850Z,2026-04-17T20:20:18.621754Z,0.442901,738c98a03600,2026-04-17T20:20:18.247070Z,2026-04-17T20:20:18.615432Z,368.36,3.028,0.49,0.32,0.12,0.08,364.97,2.33,364.36,14.21,182.05,,178.79,178.12,0.67,15,86.00,100.00,9.399,9.399,39.16,39.16,2,126,200,163,short_ref,light,upload_hit,,2.713,0.1358,130266,
2,200,2026-04-17T20:20:18.179055Z,2026-04-17T20:20:23.293317Z,5.11426,ee2867c9f58d,2026-04-17T20:20:18.306436Z,2026-04-17T20:20:23.275236Z,4968.80,3.028,0.45,0.31,0.09,308.97,4635.49,22.49,4634.84,16.66,4109.35,,521.64,513.67,7.97,184,100.00,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,light,upload_hit,,2.708,1.8348,130030,
3,200,2026-04-17T20:20:18.179248Z,2026-04-17T20:20:23.299876Z,5.120626,a20dc71db8a9,2026-04-17T20:20:18.293134Z,2026-04-17T20:20:23.276576Z,4983.44,3.028,0.28,0.13,0.11,322.43,4635.49,24.32,4634.84,16.66,4109.35,,521.64,513.67,7.97,184,100.00,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,light,upload_hit,,2.703,1.8434,129810,
4,200,2026-04-17T20:20:18.179444Z,2026-04-17T20:20:23.306087Z,5.126641,6a980b4d4a53,2026-04-17T20:20:18.264585Z,2026-04-17T20:20:23.279220Z,5014.64,3.028,0.55,0.24,0.23,350.72,4635.49,27.13,4634.84,16.66,4109.35,,521.64,513.67,7.97,184,100.00,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,light,upload_hit,,2.594,1.9329,124576,
5,200,2026-04-17T20:20:18.179635Z,2026-04-17T20:20:23.281768Z,5.102131,f1800f59ddbb,2026-04-17T20:20:18.294795Z,2026-04-17T20:20:23.269930Z,4975.14,3.028,1.55,1.36,0.13,319.51,4635.49,15.40,4634.84,16.66,4109.35,,521.64,513.67,7.97,184,100.00,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,light,upload_hit,,2.719,1.8299,130548,
6,200,2026-04-17T20:20:18.179833Z,2026-04-17T20:20:23.273838Z,5.094004,7651b10182fa,2026-04-17T20:20:18.306121Z,2026-04-17T20:20:23.267936Z,4961.81,3.028,0.95,0.82,0.09,308.78,4635.49,15.14,4634.84,16.66,4109.35,,521.64,513.67,7.97,184,100.00,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,light,upload_hit,,2.702,1.8365,129732,
7,200,2026-04-17T20:20:18.180021Z,2026-04-17T20:20:23.311214Z,5.131192,ed2e453c3579,2026-04-17T20:20:18.272497Z,2026-04-17T20:20:23.281011Z,5008.51,3.028,0.37,0.14,0.16,342.98,4635.49,28.84,4634.84,16.66,4109.35,,521.64,513.67,7.97,184,100.00,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,light,upload_hit,,2.702,1.8535,129750,
8,200,2026-04-17T20:20:18.180217Z,2026-04-17T20:20:23.304675Z,5.124456,1e6a44ebad21,2026-04-17T20:20:18.295089Z,2026-04-17T20:20:23.278583Z,4983.49,3.028,1.51,1.38,0.08,319.25,4635.49,24.54,4634.84,16.66,4109.35,,521.64,513.67,7.97,184,100.00,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,light,upload_hit,,2.653,1.8783,127400,
9,200,2026-04-17T20:20:18.180416Z,2026-04-17T20:20:23.301273Z,5.120856,2313e5b31c5d,2026-04-17T20:20:18.294961Z,2026-04-17T20:20:23.277599Z,4982.64,3.028,0.89,0.64,0.18,320.00,4635.49,25.23,4634.84,16.66,4109.35,,521.64,513.67,7.97,184,100.00,100.00,9.399,9.399,39.16,39.16,32,2016,3200,163,short_ref,light,upload_hit,,2.667,1.8684,128050,
