index,status,local_started_at,local_finished_at,elapsed_s,request_id,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,audio_decode_ms,post_process_audio_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,postprocess_mode,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T22:43:29.677279Z,2026-04-17T22:43:30.118713Z,0.441432,68ef6827fed7,2026-04-17T22:43:29.756955Z,2026-04-17T22:43:30.116487Z,359.53,2.988,0.43,0.15,0.21,3.19,354.36,1.10,353.54,8.40,173.86,,176.16,167.42,8.75,12,100.00,100.00,8.178,8.178,34.08,34.08,2,126,200,163,short_ref,full,upload_hit,,2.640,0.1362,126764,
1,200,2026-04-17T22:43:29.677577Z,2026-04-17T22:43:30.119645Z,0.442067,3b711d284d84,2026-04-17T22:43:29.760099Z,2026-04-17T22:43:30.116682Z,356.58,2.988,0.36,0.14,0.17,0.12,354.36,1.23,353.54,8.40,173.86,,176.16,167.42,8.75,12,100.00,100.00,8.178,8.178,34.08,34.08,2,126,200,163,short_ref,full,upload_hit,,2.600,0.1371,124844,
2,200,2026-04-17T22:43:29.677794Z,2026-04-17T22:43:34.019947Z,4.342151,e180eefe6aee,2026-04-17T22:43:29.802573Z,2026-04-17T22:43:33.995414Z,4192.84,2.988,0.48,0.33,0.11,315.00,3853.20,19.31,3852.59,14.20,3297.03,,551.97,437.09,114.88,149,100.00,100.00,8.670,8.678,36.12,36.16,25,1575,2500,163,short_ref,full,upload_hit,,2.710,1.5472,130124,
3,200,2026-04-17T22:43:29.678002Z,2026-04-17T22:43:34.000895Z,4.322891,2586d4f0e525,2026-04-17T22:43:29.794469Z,2026-04-17T22:43:33.984766Z,4190.30,2.988,2.25,2.06,0.14,321.34,3853.20,12.51,3852.59,14.20,3297.03,,551.97,437.09,114.88,149,100.00,100.00,8.670,8.678,36.12,36.16,25,1575,2500,163,short_ref,full,upload_hit,,2.700,1.5520,129644,
4,200,2026-04-17T22:43:29.678211Z,2026-04-17T22:43:34.016368Z,4.338156,13694b76baa6,2026-04-17T22:43:29.772744Z,2026-04-17T22:43:33.993674Z,4220.93,2.988,0.36,0.20,0.11,344.95,3853.20,20.13,3852.59,14.20,3297.03,,551.97,437.09,114.88,149,100.00,100.00,8.670,8.678,36.12,36.16,25,1575,2500,163,short_ref,full,upload_hit,,2.720,1.5518,130604,
5,200,2026-04-17T22:43:29.678433Z,2026-04-17T22:43:34.013336Z,4.334901,c80f0a053d62,2026-04-17T22:43:29.819424Z,2026-04-17T22:43:33.992765Z,4173.34,2.988,0.33,0.19,0.11,298.30,3853.20,19.94,3852.59,14.20,3297.03,,551.97,437.09,114.88,149,100.00,100.00,8.670,8.678,36.12,36.16,25,1575,2500,163,short_ref,full,upload_hit,,2.710,1.5400,130124,
6,200,2026-04-17T22:43:29.678642Z,2026-04-17T22:43:33.998710Z,4.320067,73f515acea82,2026-04-17T22:43:29.802802Z,2026-04-17T22:43:33.984649Z,4181.85,2.988,4.42,4.26,0.12,310.83,3853.20,10.08,3852.59,14.20,3297.03,,551.97,437.09,114.88,149,100.00,100.00,8.670,8.678,36.12,36.16,25,1575,2500,163,short_ref,full,upload_hit,,2.710,1.5431,130124,
7,200,2026-04-17T22:43:29.678840Z,2026-04-17T22:43:34.002236Z,4.323394,7e7339cc7b61,2026-04-17T22:43:29.778515Z,2026-04-17T22:43:33.985329Z,4206.81,2.988,0.32,0.15,0.13,339.22,3853.20,13.16,3852.59,14.20,3297.03,,551.97,437.09,114.88,149,100.00,100.00,8.670,8.678,36.12,36.16,25,1575,2500,163,short_ref,full,upload_hit,,2.690,1.5639,129164,
8,200,2026-04-17T22:43:29.679047Z,2026-04-17T22:43:34.019385Z,4.340337,d344b0bb1f9f,2026-04-17T22:43:29.811315Z,2026-04-17T22:43:33.995124Z,4183.81,2.988,0.59,0.44,0.11,306.15,3853.20,22.48,3852.59,14.20,3297.03,,551.97,437.09,114.88,149,100.00,100.00,8.670,8.678,36.12,36.16,25,1575,2500,163,short_ref,full,upload_hit,,2.690,1.5553,129164,
9,200,2026-04-17T22:43:29.679250Z,2026-04-17T22:43:34.007223Z,4.327972,cafeb677f8bd,2026-04-17T22:43:29.825021Z,2026-04-17T22:43:33.991720Z,4166.70,2.988,0.31,0.19,0.09,292.72,3853.20,19.02,3852.59,14.20,3297.03,,551.97,437.09,114.88,149,100.00,100.00,8.670,8.678,36.12,36.16,25,1575,2500,163,short_ref,full,upload_hit,,2.700,1.5432,129644,
