index,status,local_started_at,local_finished_at,elapsed_s,request_id,replica_index,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,audio_decode_ms,post_process_audio_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,postprocess_mode,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T22:57:38.396973Z,2026-04-17T22:57:38.832379Z,0.435404,ddf8734dabd1,0,2026-04-17T22:57:38.454734Z,2026-04-17T22:57:38.829340Z,374.61,3.028,0.48,0.28,0.15,5.32,365.56,2.65,364.74,7.04,189.06,,172.14,163.65,8.49,14,100.00,100.00,8.717,8.717,36.32,36.32,2,126,200,163,short_ref,full,upload_hit,,2.720,0.1377,130604,
1,200,2026-04-17T22:57:38.397381Z,2026-04-17T22:57:38.831106Z,0.433723,ce3056130ccc,0,2026-04-17T22:57:38.460027Z,2026-04-17T22:57:38.828199Z,368.17,3.028,0.37,0.19,0.13,0.14,365.56,1.40,364.74,7.04,189.06,,172.14,163.65,8.49,14,100.00,100.00,8.717,8.717,36.32,36.32,2,126,200,163,short_ref,full,upload_hit,,2.720,0.1354,130604,
2,200,2026-04-17T22:57:38.397659Z,2026-04-17T22:57:43.573856Z,5.176195,628174d978e8,0,2026-04-17T22:57:38.506782Z,2026-04-17T22:57:43.557450Z,5050.67,3.028,0.32,0.21,0.09,323.75,4699.68,25.62,4698.97,16.17,4024.94,,669.69,525.50,144.20,186,99.17,100.00,9.353,9.358,38.97,38.99,32,2016,3200,163,short_ref,full,upload_hit,,2.640,1.9131,126764,
3,200,2026-04-17T22:57:38.397924Z,2026-04-17T22:57:43.583847Z,5.185921,4c044195d122,0,2026-04-17T22:57:38.501830Z,2026-04-17T22:57:43.559095Z,5057.27,3.028,0.44,0.20,0.18,328.59,4699.68,27.48,4698.97,16.17,4024.94,,669.69,525.50,144.20,186,99.17,100.00,9.353,9.358,38.97,38.99,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.8661,130124,
4,200,2026-04-17T22:57:38.398183Z,2026-04-17T22:57:43.562508Z,5.164323,096223f77257,0,2026-04-17T22:57:38.476196Z,2026-04-17T22:57:43.554013Z,5077.82,3.028,1.94,1.74,0.15,352.73,4699.68,22.53,4698.97,16.17,4024.94,,669.69,525.50,144.20,186,99.17,100.00,9.353,9.358,38.97,38.99,32,2016,3200,163,short_ref,full,upload_hit,,2.720,1.8668,130604,
5,200,2026-04-17T22:57:38.398467Z,2026-04-17T22:57:43.570418Z,5.171949,5f8ec5b5c711,0,2026-04-17T22:57:38.516598Z,2026-04-17T22:57:43.556311Z,5039.71,3.028,1.35,1.20,0.10,312.92,4699.68,24.21,4698.97,16.17,4024.94,,669.69,525.50,144.20,186,99.17,100.00,9.353,9.358,38.97,38.99,32,2016,3200,163,short_ref,full,upload_hit,,2.720,1.8528,130604,
6,200,2026-04-17T22:57:38.398725Z,2026-04-17T22:57:43.594166Z,5.19544,e2990b1a09a1,0,2026-04-17T22:57:38.511063Z,2026-04-17T22:57:43.562027Z,5050.96,3.028,0.61,0.37,0.19,319.19,4699.68,28.13,4698.97,16.17,4024.94,,669.69,525.50,144.20,186,99.17,100.00,9.353,9.358,38.97,38.99,32,2016,3200,163,short_ref,full,upload_hit,,2.490,2.0285,119564,
7,200,2026-04-17T22:57:38.398971Z,2026-04-17T22:57:43.594048Z,5.195076,91e827d00131,0,2026-04-17T22:57:38.481303Z,2026-04-17T22:57:43.563314Z,5082.01,3.028,1.33,1.16,0.12,348.23,4699.68,31.74,4698.97,16.17,4024.94,,669.69,525.50,144.20,186,99.17,100.00,9.353,9.358,38.97,38.99,32,2016,3200,163,short_ref,full,upload_hit,,2.680,1.8963,128684,
8,200,2026-04-17T22:57:38.399223Z,2026-04-17T22:57:43.586585Z,5.187361,b00a46c319e1,0,2026-04-17T22:57:38.505814Z,2026-04-17T22:57:43.560721Z,5054.91,3.028,0.60,0.44,0.12,324.45,4699.68,29.00,4698.97,16.17,4024.94,,669.69,525.50,144.20,186,99.17,100.00,9.353,9.358,38.97,38.99,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.8653,130124,
9,200,2026-04-17T22:57:38.399473Z,2026-04-17T22:57:43.561432Z,5.161958,308219ba681c,0,2026-04-17T22:57:38.518170Z,2026-04-17T22:57:43.552858Z,5034.69,3.028,5.28,4.96,0.25,307.42,4699.68,20.64,4698.97,16.17,4024.94,,669.69,525.50,144.20,186,99.17,100.00,9.353,9.358,38.97,38.99,32,2016,3200,163,short_ref,full,upload_hit,,2.710,1.8578,130124,
