index,status,local_started_at,local_finished_at,elapsed_s,request_id,replica_index,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,audio_decode_ms,post_process_audio_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,postprocess_mode,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T23:00:14.222323Z,2026-04-17T23:00:14.723020Z,0.500684,3bc0b8701d97,0,2026-04-17T23:00:14.288952Z,2026-04-17T23:00:14.720969Z,432.02,5.349,0.40,0.21,0.15,10.26,419.92,0.94,419.38,7.13,107.34,,308.63,304.04,4.59,16,100.00,100.00,16.237,16.237,67.65,67.65,1,63,100,163,short_ref,full,upload_hit,,2.710,0.1594,130124,
1,200,2026-04-17T23:00:14.222649Z,2026-04-17T23:00:14.698548Z,0.475896,333e592bbaf1,1,2026-04-17T23:00:14.294690Z,2026-04-17T23:00:14.696255Z,401.56,5.348,0.28,0.12,0.10,11.01,388.90,0.83,388.56,1.08,99.92,,285.26,280.41,4.84,15,100.00,100.00,16.237,16.237,67.65,67.65,1,63,100,163,short_ref,full,upload_hit,,2.690,0.1493,129164,
2,200,2026-04-17T23:00:14.222859Z,2026-04-17T23:00:19.120702Z,4.897842,8bf643b2de27,1,2026-04-17T23:00:14.333589Z,2026-04-17T23:00:19.095890Z,4762.30,5.589,5.01,4.74,0.20,359.44,4376.34,18.92,4376.03,10.53,1883.32,,2489.05,2409.90,79.14,173,97.68,100.00,16.554,16.557,68.98,68.99,16,1008,1600,163,short_ref,full,upload_hit,,2.720,1.7508,130604,
3,200,2026-04-17T23:00:14.223058Z,2026-04-17T23:00:21.124577Z,6.901518,c91823051ab9,0,2026-04-17T23:00:14.331760Z,2026-04-17T23:00:21.104573Z,6772.81,5.522,0.69,0.42,0.21,390.16,6369.43,11.76,6369.16,2127.01,4391.54,,1974.11,1897.81,76.30,251,90.33,100.00,16.556,16.557,68.98,68.99,16,1008,1600,163,short_ref,full,upload_hit,,2.700,2.5084,129644,
4,200,2026-04-17T23:00:14.223251Z,2026-04-17T23:00:21.105005Z,6.881752,c40ea6858313,0,2026-04-17T23:00:14.313243Z,2026-04-17T23:00:21.099949Z,6786.71,5.522,0.40,0.18,0.16,408.97,6369.43,6.36,6369.16,2127.01,4391.54,,1974.11,1897.81,76.30,251,90.33,100.00,16.556,16.557,68.98,68.99,16,1008,1600,163,short_ref,full,upload_hit,,2.690,2.5229,129164,
5,200,2026-04-17T23:00:14.223451Z,2026-04-17T23:00:19.116202Z,4.892749,0a1ca3626b97,1,2026-04-17T23:00:14.348908Z,2026-04-17T23:00:19.093475Z,4744.57,5.589,0.36,0.21,0.11,348.76,4376.34,17.89,4376.03,10.53,1883.32,,2489.05,2409.90,79.14,173,97.68,100.00,16.554,16.557,68.98,68.99,16,1008,1600,163,short_ref,full,upload_hit,,2.390,1.9852,114764,
6,200,2026-04-17T23:00:14.223647Z,2026-04-17T23:00:21.121013Z,6.897365,5eae34af137a,0,2026-04-17T23:00:14.337532Z,2026-04-17T23:00:21.104086Z,6766.55,5.522,0.44,0.21,0.17,384.64,6369.43,11.20,6369.16,2127.01,4391.54,,1974.11,1897.81,76.30,251,90.33,100.00,16.556,16.557,68.98,68.99,16,1008,1600,163,short_ref,full,upload_hit,,2.700,2.5061,129644,
7,200,2026-04-17T23:00:14.223838Z,2026-04-17T23:00:19.120140Z,4.896301,24dc243eab62,1,2026-04-17T23:00:14.321269Z,2026-04-17T23:00:19.096178Z,4774.91,5.589,1.72,1.57,0.12,375.03,4376.34,20.80,4376.03,10.53,1883.32,,2489.05,2409.90,79.14,173,97.68,100.00,16.554,16.557,68.98,68.99,16,1008,1600,163,short_ref,full,upload_hit,,2.700,1.7685,129644,
8,200,2026-04-17T23:00:14.224035Z,2026-04-17T23:00:19.108059Z,4.884022,ed4a26f56b91,1,2026-04-17T23:00:14.347330Z,2026-04-17T23:00:19.091896Z,4744.57,5.589,0.93,0.75,0.13,349.77,4376.34,16.39,4376.03,10.53,1883.32,,2489.05,2409.90,79.14,173,97.68,100.00,16.554,16.557,68.98,68.99,16,1008,1600,163,short_ref,full,upload_hit,,2.720,1.7443,130604,
9,200,2026-04-17T23:00:14.224228Z,2026-04-17T23:00:21.125424Z,6.901195,2fd79bbb0bb5,0,2026-04-17T23:00:14.362306Z,2026-04-17T23:00:21.106238Z,6743.93,5.522,1.39,1.23,0.12,358.91,6369.43,12.26,6369.16,2127.01,4391.54,,1974.11,1897.81,76.30,251,90.33,100.00,16.556,16.557,68.98,68.99,16,1008,1600,163,short_ref,full,upload_hit,,2.670,2.5258,128204,
10,200,2026-04-17T23:00:14.224490Z,2026-04-17T23:00:19.121469Z,4.896978,6628e4b030ff,1,2026-04-17T23:00:14.332548Z,2026-04-17T23:00:19.096955Z,4764.41,5.589,0.67,0.22,0.11,365.12,4376.34,21.51,4376.03,10.53,1883.32,,2489.05,2409.90,79.14,173,97.68,100.00,16.554,16.557,68.98,68.99,16,1008,1600,163,short_ref,full,upload_hit,,2.710,1.7581,130124,
11,200,2026-04-17T23:00:14.224687Z,2026-04-17T23:00:21.111522Z,6.886833,485a35cbbe11,0,2026-04-17T23:00:14.346817Z,2026-04-17T23:00:21.102528Z,6755.71,5.522,1.16,0.77,0.30,374.64,6369.43,9.60,6369.16,2127.01,4391.54,,1974.11,1897.81,76.30,251,90.33,100.00,16.556,16.557,68.98,68.99,16,1008,1600,163,short_ref,full,upload_hit,,2.710,2.4929,130124,
