index,status,local_started_at,local_finished_at,elapsed_s,request_id,replica_index,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,audio_decode_ms,post_process_audio_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,postprocess_mode,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T23:28:42.188412Z,2026-04-17T23:28:42.405880Z,0.217465,a0e5be19ac17,0,2026-04-17T23:28:42.191983Z,2026-04-17T23:28:42.403588Z,211.60,3.042,0.42,0.20,0.16,10.19,199.80,0.69,199.42,1.00,11.73,,184.49,179.72,4.77,8,18.62,100.00,8.823,8.823,36.76,36.76,1,63,100,163,short_ref,full,upload_hit,,2.610,0.0811,125324,
1,200,2026-04-17T23:28:42.405984Z,2026-04-17T23:28:42.620328Z,0.214341,35c642ecc1f4,0,2026-04-17T23:28:42.408543Z,2026-04-17T23:28:42.617919Z,209.38,3.042,0.28,0.13,0.11,10.11,197.34,1.18,197.03,0.98,11.08,,182.66,178.34,4.32,8,100.00,100.00,8.823,8.823,36.76,36.76,1,63,100,163,short_ref,full,upload_hit,,2.630,0.0796,126284,
2,200,2026-04-17T23:28:42.620554Z,2026-04-17T23:28:42.836284Z,0.215726,7b10022778b8,0,2026-04-17T23:28:42.624657Z,2026-04-17T23:28:42.833975Z,209.32,3.042,0.48,0.21,0.19,10.14,197.07,1.12,196.73,0.93,10.95,,182.52,178.30,4.22,8,100.00,100.00,8.823,8.823,36.76,36.76,1,63,100,163,short_ref,full,upload_hit,,2.710,0.0772,130124,
3,200,2026-04-17T23:28:42.836460Z,2026-04-17T23:28:43.051388Z,0.214925,3e043d9952a6,0,2026-04-17T23:28:42.840150Z,2026-04-17T23:28:43.049702Z,209.55,3.042,0.41,0.20,0.15,10.12,197.86,0.70,197.56,0.92,10.97,,183.40,179.21,4.19,8,100.00,100.00,8.823,8.823,36.76,36.76,1,63,100,163,short_ref,full,upload_hit,,2.690,0.0779,129164,
4,200,2026-04-17T23:28:43.051492Z,2026-04-17T23:28:43.266477Z,0.214983,a6a3ab61dc7e,0,2026-04-17T23:28:43.054245Z,2026-04-17T23:28:43.264583Z,210.34,3.042,0.29,0.14,0.11,10.13,198.32,1.11,197.99,0.95,11.16,,183.49,179.32,4.17,8,100.00,100.00,8.823,8.823,36.76,36.76,1,63,100,163,short_ref,full,upload_hit,,2.720,0.0773,130604,
5,200,2026-04-17T23:28:43.266583Z,2026-04-17T23:28:43.481467Z,0.214882,6764dfe9176d,0,2026-04-17T23:28:43.269305Z,2026-04-17T23:28:43.479652Z,210.35,3.042,0.44,0.20,0.17,10.14,197.95,1.37,197.57,0.98,11.09,,183.21,178.96,4.24,8,85.00,100.00,8.823,8.823,36.76,36.76,1,63,100,163,short_ref,full,upload_hit,,2.640,0.0797,126764,
6,200,2026-04-17T23:28:43.481571Z,2026-04-17T23:28:43.696864Z,0.215291,8a10795886d0,0,2026-04-17T23:28:43.484218Z,2026-04-17T23:28:43.694185Z,209.97,3.042,0.51,0.25,0.18,10.14,197.49,1.31,197.10,0.92,11.31,,182.61,178.42,4.19,8,70.00,70.00,8.823,8.823,36.76,36.76,1,63,100,163,short_ref,full,upload_hit,,2.680,0.0783,128684,
7,200,2026-04-17T23:28:43.697035Z,2026-04-17T23:28:43.912682Z,0.215645,a3d89d5263e6,0,2026-04-17T23:28:43.701182Z,2026-04-17T23:28:43.910887Z,209.71,3.042,0.54,0.26,0.20,10.15,197.71,0.80,197.37,0.95,11.04,,182.98,178.85,4.13,8,70.00,70.00,8.823,8.823,36.76,36.76,1,63,100,163,short_ref,full,upload_hit,,2.710,0.0774,130124,
8,200,2026-04-17T23:28:43.912787Z,2026-04-17T23:28:44.128225Z,0.215436,f055fcf52503,0,2026-04-17T23:28:43.915469Z,2026-04-17T23:28:44.125910Z,210.44,3.042,0.31,0.13,0.13,10.16,198.75,0.77,198.31,0.93,11.07,,183.84,179.63,4.21,8,70.00,70.00,8.823,8.823,36.76,36.76,1,63,100,163,short_ref,full,upload_hit,,2.660,0.0791,127724,
9,200,2026-04-17T23:28:44.128329Z,2026-04-17T23:28:44.343388Z,0.215057,056fbe7620f0,0,2026-04-17T23:28:44.131461Z,2026-04-17T23:28:44.341483Z,210.02,3.042,0.28,0.13,0.11,10.13,198.07,1.09,197.72,0.94,10.97,,183.48,179.29,4.18,8,70.00,70.00,8.823,8.823,36.76,36.76,1,63,100,163,short_ref,full,upload_hit,,2.710,0.0775,130124,
