index,status,local_started_at,local_finished_at,elapsed_s,request_id,replica_index,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,audio_decode_ms,post_process_audio_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,postprocess_mode,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,500,2026-04-17T23:27:57.104297Z,2026-04-17T23:27:57.378189Z,0.273889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,"{""detail"":""CUDA error: operation not permitted when stream is capturing\nCUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.\nFor debugging consider passing CUDA_LAUNCH_BLOCKING=1\nCompile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.\n""}"
1,500,2026-04-17T23:27:57.378305Z,2026-04-17T23:27:57.681743Z,0.303436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,"{""detail"":""CUDA error: operation not permitted when stream is capturing\nCUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.\nFor debugging consider passing CUDA_LAUNCH_BLOCKING=1\nCompile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.\n""}"
2,200,2026-04-17T23:27:57.681859Z,2026-04-17T23:27:58.526450Z,0.844589,0667dc404ca8,0,2026-04-17T23:27:57.685389Z,2026-04-17T23:27:58.524270Z,838.88,3.094,46.39,45.73,0.59,558.03,233.21,0.72,232.88,1.00,12.12,,217.27,212.70,4.57,10,39.60,54.00,10.678,10.706,44.49,44.61,1,63,100,163,short_ref,full,upload_miss,,2.700,0.3107,129644,
3,200,2026-04-17T23:27:58.526560Z,2026-04-17T23:27:58.866178Z,0.339615,1ab78733449d,0,2026-04-17T23:27:58.529198Z,2026-04-17T23:27:58.863832Z,334.63,3.094,0.31,0.13,0.13,133.99,198.66,1.12,198.26,1.07,12.54,,182.06,177.88,4.18,8,54.00,54.00,10.706,10.706,44.61,44.61,1,63,100,163,short_ref,full,upload_hit,,2.720,0.1230,130604,
4,200,2026-04-17T23:27:58.866303Z,2026-04-17T23:27:59.205774Z,0.339469,72f99ffe740b,0,2026-04-17T23:27:58.869406Z,2026-04-17T23:27:59.203825Z,334.42,3.094,0.39,0.13,0.19,133.97,198.40,1.11,198.02,1.14,12.63,,181.91,177.74,4.17,8,54.00,54.00,10.706,10.706,44.61,44.61,1,63,100,163,short_ref,full,upload_hit,,2.710,0.1234,130124,
5,200,2026-04-17T23:27:59.205879Z,2026-04-17T23:27:59.545272Z,0.33939,1711de79542b,0,2026-04-17T23:27:59.208893Z,2026-04-17T23:27:59.543234Z,334.34,3.094,0.42,0.20,0.15,131.97,200.28,1.18,199.99,1.13,13.04,,183.50,179.30,4.20,8,75.88,79.00,10.706,10.706,44.61,44.61,1,63,100,163,short_ref,full,upload_hit,,2.710,0.1234,130124,
6,200,2026-04-17T23:27:59.545377Z,2026-04-17T23:27:59.888759Z,0.34338,a40b31309abf,0,2026-04-17T23:27:59.548636Z,2026-04-17T23:27:59.886887Z,338.25,3.094,0.50,0.23,0.20,135.09,200.89,1.27,200.58,1.05,12.39,,184.55,180.27,4.28,8,79.00,79.00,10.706,10.706,44.61,44.61,1,63,100,163,short_ref,full,upload_hit,,2.610,0.1296,125324,
7,200,2026-04-17T23:27:59.888867Z,2026-04-17T23:28:00.231439Z,0.342569,1f187149803c,0,2026-04-17T23:27:59.891696Z,2026-04-17T23:28:00.229215Z,337.52,3.094,0.54,0.26,0.20,135.34,199.82,1.24,199.53,1.05,11.78,,184.11,179.93,4.18,8,79.00,79.00,10.706,10.706,44.61,44.61,1,63,100,163,short_ref,full,upload_hit,,2.720,0.1241,130604,
8,200,2026-04-17T23:28:00.231561Z,2026-04-17T23:28:00.578071Z,0.346508,d5b28eb6a228,0,2026-04-17T23:28:00.234403Z,2026-04-17T23:28:00.575793Z,341.39,3.094,0.47,0.21,0.19,139.49,199.87,1.03,199.47,1.08,12.54,,183.35,179.15,4.20,8,78.00,78.00,10.706,10.706,44.61,44.61,1,63,100,163,short_ref,full,upload_hit,,2.700,0.1264,129644,
9,200,2026-04-17T23:28:00.578246Z,2026-04-17T23:28:00.796746Z,0.218497,f7eb6d760def,0,2026-04-17T23:28:00.582116Z,2026-04-17T23:28:00.794159Z,212.04,3.094,0.35,0.13,0.16,10.14,200.01,1.00,199.64,1.01,11.98,,184.46,179.61,4.85,8,78.00,78.00,10.706,10.706,44.61,44.61,1,63,100,163,short_ref,full,upload_hit,,2.670,0.0794,128204,
