index,status,local_started_at,local_finished_at,elapsed_s,request_id,replica_index,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,audio_decode_ms,post_process_audio_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,postprocess_mode,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T23:28:49.821281Z,2026-04-17T23:28:50.252206Z,0.430923,bfae92d63b6e,0,2026-04-17T23:28:49.822667Z,2026-04-17T23:28:50.250488Z,427.82,3.116,0.22,0.00,0.15,10.15,416.28,0.67,415.94,0.92,292.34,,120.07,114.89,5.18,10,12.00,12.00,8.122,8.760,33.84,36.50,1,67,21,88,short_noref,full,none,,2.510,0.1704,120524,
1,200,2026-04-17T23:28:50.252314Z,2026-04-17T23:28:50.395163Z,0.142847,6b4b0342655f,0,2026-04-17T23:28:50.253650Z,2026-04-17T23:28:50.393480Z,139.83,3.118,0.13,0.00,0.09,10.13,128.35,0.72,128.01,0.89,11.67,,113.16,108.59,4.57,5,12.00,12.00,8.788,8.788,36.62,36.62,1,67,21,88,short_noref,full,none,,2.820,0.0496,135404,
2,200,2026-04-17T23:28:50.395270Z,2026-04-17T23:28:50.536278Z,0.141006,d3da4c551263,0,2026-04-17T23:28:50.396510Z,2026-04-17T23:28:50.534525Z,138.01,3.118,0.13,0.00,0.09,10.13,126.51,0.73,126.19,0.89,11.33,,111.43,106.90,4.53,5,76.00,76.00,8.788,8.788,36.62,36.62,1,67,21,88,short_noref,full,none,,2.830,0.0488,135884,
3,200,2026-04-17T23:28:50.536384Z,2026-04-17T23:28:50.678795Z,0.142409,c85c6932fa81,0,2026-04-17T23:28:50.537614Z,2026-04-17T23:28:50.676250Z,138.64,3.118,0.13,0.00,0.09,10.13,126.73,1.14,126.40,0.93,11.34,,111.71,107.16,4.55,5,76.00,76.00,8.788,8.788,36.62,36.62,1,67,21,88,short_noref,full,none,,2.780,0.0499,133484,
4,200,2026-04-17T23:28:50.679030Z,2026-04-17T23:28:50.821156Z,0.142123,b9b446a25f22,0,2026-04-17T23:28:50.680706Z,2026-04-17T23:28:50.819211Z,138.50,3.118,0.15,0.00,0.10,10.18,126.65,1.07,126.29,0.92,11.52,,111.27,106.55,4.72,5,76.00,76.00,8.788,8.788,36.62,36.62,1,67,21,88,short_noref,full,none,,2.570,0.0539,123404,
5,200,2026-04-17T23:28:50.821259Z,2026-04-17T23:28:50.963934Z,0.142674,e78cc52e3817,0,2026-04-17T23:28:50.823258Z,2026-04-17T23:28:50.961508Z,138.25,3.118,0.22,0.00,0.15,10.14,126.32,1.08,126.00,0.90,11.18,,111.46,106.76,4.70,5,76.00,76.00,8.788,8.788,36.62,36.62,1,67,21,88,short_noref,full,none,,2.600,0.0532,124844,
6,200,2026-04-17T23:28:50.964105Z,2026-04-17T23:28:51.107363Z,0.143256,f4cf42fb8bc1,0,2026-04-17T23:28:50.966118Z,2026-04-17T23:28:51.105205Z,139.09,3.118,0.19,0.00,0.13,10.24,127.19,0.84,126.74,0.97,11.12,,111.99,107.38,4.61,5,76.00,76.00,8.788,8.788,36.62,36.62,1,67,21,88,short_noref,full,none,,2.760,0.0504,132524,
7,200,2026-04-17T23:28:51.107504Z,2026-04-17T23:28:51.249604Z,0.142097,71bb0b88126a,0,2026-04-17T23:28:51.108919Z,2026-04-17T23:28:51.247634Z,138.72,3.118,0.16,0.00,0.11,10.17,127.04,0.82,126.63,0.93,11.12,,111.97,107.44,4.53,5,76.00,76.00,8.788,8.788,36.62,36.62,1,67,21,88,short_noref,full,none,,2.750,0.0504,132044,
8,200,2026-04-17T23:28:51.249710Z,2026-04-17T23:28:51.391483Z,0.141771,08c9929b71a8,0,2026-04-17T23:28:51.251022Z,2026-04-17T23:28:51.389075Z,138.05,3.118,0.17,0.00,0.12,10.14,126.57,0.73,126.32,0.71,10.81,,112.12,107.71,4.42,5,76.00,76.00,8.788,8.788,36.62,36.62,1,67,21,88,short_noref,full,none,,2.880,0.0479,138284,
9,200,2026-04-17T23:28:51.391659Z,2026-04-17T23:28:51.534383Z,0.142721,d165d59e4f22,0,2026-04-17T23:28:51.393112Z,2026-04-17T23:28:51.531852Z,138.74,3.118,0.13,0.00,0.09,10.12,127.25,0.72,126.92,0.95,10.98,,112.67,108.14,4.53,5,79.00,79.00,8.788,8.788,36.62,36.62,1,67,21,88,short_noref,full,none,,2.750,0.0505,132044,
