index,status,local_started_at,local_finished_at,elapsed_s,request_id,replica_index,started_at,finished_at,latency_ms,peak_vram_gb,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,generate_total_ms,prepare_inference_inputs_ms,iterative_generate_ms,chunked_generate_ms,decode_postprocess_ms,audio_decode_ms,post_process_audio_ms,gpu_sample_count,gpu_util_avg_pct,gpu_util_peak_pct,device_vram_used_gb_avg,device_vram_used_gb_peak,device_vram_util_avg_pct,device_vram_util_peak_pct,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,postprocess_mode,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,500,2026-04-17T23:27:56.793890Z,2026-04-17T23:27:57.108252Z,0.31436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,"{""detail"":""CUDA error: operation failed due to a previous error during capture\nCUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.\nFor debugging consider passing CUDA_LAUNCH_BLOCKING=1\nCompile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.\n""}"
1,500,2026-04-17T23:27:57.108356Z,2026-04-17T23:27:57.385613Z,0.277254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,"{""detail"":""CUDA error: operation failed due to a previous error during capture\nCUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.\nFor debugging consider passing CUDA_LAUNCH_BLOCKING=1\nCompile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.\n""}"
2,500,2026-04-17T23:27:57.385820Z,2026-04-17T23:27:57.689361Z,0.303538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,"{""detail"":""CUDA error: operation failed due to a previous error during capture\nCUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.\nFor debugging consider passing CUDA_LAUNCH_BLOCKING=1\nCompile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.\n""}"
3,200,2026-04-17T23:27:57.689481Z,2026-04-17T23:27:58.288015Z,0.598531,c8acd0f6321b,0,2026-04-17T23:27:57.694271Z,2026-04-17T23:27:58.285737Z,591.47,3.279,0.17,0.00,0.12,10.14,579.13,1.48,578.72,0.77,410.16,,165.28,160.15,5.14,16,6.00,6.00,9.745,10.182,40.60,42.43,1,67,21,88,short_noref,full,none,,2.740,0.2159,131564,
4,200,2026-04-17T23:27:58.288121Z,2026-04-17T23:27:58.660457Z,0.372334,309d5c2b8a0b,0,2026-04-17T23:27:58.289424Z,2026-04-17T23:27:58.658102Z,368.68,3.134,0.26,0.00,0.17,239.97,127.17,0.71,126.81,0.94,11.77,,111.61,106.93,4.68,5,54.00,54.00,10.706,10.706,44.61,44.61,1,67,21,88,short_noref,full,none,,2.770,0.1331,133004,
5,200,2026-04-17T23:27:58.660564Z,2026-04-17T23:27:59.001911Z,0.341345,a55f8c7616f3,0,2026-04-17T23:27:58.663102Z,2026-04-17T23:27:59.000058Z,336.96,3.134,0.19,0.00,0.14,206.67,128.91,0.71,128.60,1.16,11.79,,113.14,108.63,4.51,5,54.00,54.00,10.706,10.706,44.61,44.61,1,67,21,88,short_noref,full,none,,2.880,0.1170,138284,
6,200,2026-04-17T23:27:59.002014Z,2026-04-17T23:27:59.339633Z,0.337617,cf65bce6731e,0,2026-04-17T23:27:59.003506Z,2026-04-17T23:27:59.337838Z,334.33,3.134,0.14,0.00,0.10,205.77,127.24,0.68,126.93,0.85,11.30,,112.28,107.76,4.52,5,54.00,54.00,10.706,10.706,44.61,44.61,1,67,21,88,short_noref,full,none,,2.750,0.1216,132044,
7,200,2026-04-17T23:27:59.339735Z,2026-04-17T23:27:59.681871Z,0.342133,b70e3dbfffc6,0,2026-04-17T23:27:59.341026Z,2026-04-17T23:27:59.679891Z,338.87,3.134,0.15,0.00,0.10,208.15,129.26,0.73,128.88,0.99,11.97,,113.25,108.54,4.71,5,79.00,79.00,10.706,10.706,44.61,44.61,1,67,21,88,short_noref,full,none,,2.790,0.1215,133964,
8,200,2026-04-17T23:27:59.682038Z,2026-04-17T23:28:00.025307Z,0.343267,d3aaaf208c72,0,2026-04-17T23:27:59.683877Z,2026-04-17T23:28:00.022675Z,338.80,3.134,0.18,0.00,0.14,208.31,128.40,1.36,128.01,0.91,11.95,,112.71,107.99,4.72,5,79.00,79.00,10.706,10.706,44.61,44.61,1,67,21,88,short_noref,full,none,,2.570,0.1318,123404,
9,200,2026-04-17T23:28:00.025525Z,2026-04-17T23:28:00.367678Z,0.34215,cc324555850a,0,2026-04-17T23:28:00.027223Z,2026-04-17T23:28:00.365109Z,337.89,3.134,0.23,0.00,0.16,207.58,128.55,1.02,128.19,0.91,12.09,,112.53,107.93,4.60,5,79.00,79.00,10.706,10.706,44.61,44.61,1,67,21,88,short_noref,full,none,,2.640,0.1280,126764,
